,FIPST,NCESSCH,LCITY,LZIP,G1OFFERED,G8OFFERED,G12OFFERED,NOGRADES,type_school,SCH_NAME_n_students,G01_n_students,G08_n_students,G12_n_students,TOTAL_n_students,AM_n_students,AMALM_n_students,AMALF_n_students,AS_n_students,ASALM_n_students,ASALF_n_students,HI_n_students,HIALM_n_students,HIALF_n_students,BL_n_students,BLALM_n_students,BLALF_n_students,WH_n_students,WHALM_n_students,WHALF_n_students,HP_n_students,HPALM_n_students,HPALF_n_students,TR_n_students,TRALM_n_students,TRALF_n_students,FTE,STNAM_x,LEANM_x,ALL_RLA00NUMVALID,ALL_RLA00PCTPROF,F_RLA00NUMVALID,F_RLA00PCTPROF,M_RLA00NUMVALID,M_RLA00PCTPROF,MBL_RLAHSNUMVALID,MBL_RLAHSPCTPROF,MWH_RLAHSNUMVALID,MWH_RLAHSPCTPROF,STNAM_y,LEANM_y,ALL_MTH00NUMVALID,ALL_MTH00PCTPROF,MWH_MTH00PCTPROF,MBL_MTH00PCTPROF,F_MTH00NUMVALID,F_MTH00PCTPROF,M_MTH00NUMVALID,M_MTH00PCTPROF,MBL_MTHHSNUMVALID,MBL_MTHHSPCTPROF,MWH_MTHHSNUMVALID,MWH_MTHHSPCTPROF,TOT_n_susp,TOT_OSS_rate,BLA_OSS_rate,WHI_OSS_rate,AME_OSS_times_white,ASI_OSS_times_white,HI_PAC_OSS_times_white,BLA_OSS_times_white,HIS_OSS_times_white,TWO_OSS_times_white,TOT_n_enrollment
20,45,450231001180,Greenville,29609,1,0,0,0,elementary,Cherrydale Elementary,125,-2,-2,622,2,1,1,2,1,1,281,157,124,214,118,96,94,54,40,0,0,0,29,14,15,42.1,SOUTH CAROLINA,Greenville 01,233,25,102,30,131,20,0,0,0,0,SOUTH CAROLINA,Greenville 01,237,33,40,25,104,35,133,25,0,0,0,0,56,9.02,19.43,8.51,0.0,0.0,0.0,2.28,0.29,0.0,623
21,45,450231001036,Simpsonville,29680,0,0,1,0,high_school,Brashier Middle College Charter,-2,-2,102,433,0,0,0,6,2,4,31,11,20,56,17,39,331,161,170,0,0,0,9,2,7,24.0,SOUTH CAROLINA,Greenville 01,78,85,42,80,36,80,10,50,63,90,SOUTH CAROLINA,Greenville 01,74,85,90,50,42,90,32,80,10,50,57,90,4,0.98,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,437
22,45,450231001035,Greenville,29605,1,0,0,0,elementary,Thomas E. Kerns Elementary,113,-2,-2,679,1,1,0,0,0,0,157,91,66,376,209,167,112,65,47,0,0,0,33,16,17,49.0,SOUTH CAROLINA,Greenville 01,355,25,148,30,207,20,0,0,0,0,SOUTH CAROLINA,Greenville 01,355,30,40,20,148,30,207,25,0,0,0,0,34,5.04,7.49,1.8,0.0,0.0,0.0,4.16,0.73,3.01,682
23,45,450231000961,Greenville,29607,0,1,0,0,middle,Langston Charter Middle,-2,165,-2,434,0,0,0,36,15,21,23,10,13,25,10,15,335,166,169,0,0,0,15,6,9,26.4,SOUTH CAROLINA,Greenville 01,429,84,225,85,204,75,0,0,0,0,SOUTH CAROLINA,Greenville 01,429,77,79,40,225,75,204,75,0,0,0,0,0,0.0,0.0,0.0,0.9805681818181818,0.8364772727272727,0.6360227272727271,3.569204545454546,1.4146590909090913,2.622045454545454,431
24,45,450231000740,Simpsonville,29681,1,0,0,0,elementary,Bell's Crossing Elementary,147,-2,-2,946,3,2,1,18,9,9,82,41,41,89,34,55,726,382,344,0,0,0,28,10,18,51.3,SOUTH CAROLINA,Greenville 01,487,68,248,70,239,60,0,0,0,0,SOUTH CAROLINA,Greenville 01,487,71,76,50,248,70,239,70,0,0,0,0,10,1.1,2.25,0.57,0.0,0.0,0.0,3.95,4.74,12.53,948
25,45,450231000576,Greenville,29607,1,1,1,0,unknown,Washington Center,5,11,4,145,0,0,0,3,2,1,22,15,7,47,24,23,71,39,32,1,1,0,1,0,1,28.0,SOUTH CAROLINA,Greenville 01,51,10,20,20,31,10,4,0,6,50,SOUTH CAROLINA,Greenville 01,51,10,20,50,20,20,31,10,4,0,6,50,0,0.0,0.0,0.0,0.9805681818181818,0.8364772727272727,0.6360227272727271,3.569204545454546,1.4146590909090913,2.622045454545454,144
26,45,450231000574,Piedmont,29673,0,0,1,0,high_school,Woodmont High,-2,-2,407,1851,1,1,0,10,3,7,118,58,60,455,270,185,1226,652,574,3,1,2,38,22,16,93.6,SOUTH CAROLINA,Greenville 01,357,73,154,80,203,65,93,60,226,75,SOUTH CAROLINA,Greenville 01,363,77,80,60,180,80,183,70,104,60,226,80,184,10.18,16.15,7.39,0.0,0.0,6.77,2.19,1.52,3.38,1856
27,45,450231000573,Travelers Rest,29690,0,0,1,0,high_school,Travelers Rest High,-2,-2,244,1197,1,0,1,4,3,1,82,50,32,146,83,63,930,491,439,0,0,0,34,16,18,60.0,SOUTH CAROLINA,Greenville 01,256,71,116,75,140,65,46,50,179,75,SOUTH CAROLINA,Greenville 01,176,75,80,70,82,85,94,70,31,70,128,80,199,17.11,26.03,16.0,0.0,0.0,0.0,1.63,0.84,1.29,1200
28,45,450231000572,Greenville,29605,0,0,1,0,high_school,Southside High,-2,-2,133,807,4,2,2,57,26,31,111,67,44,468,247,221,139,73,66,2,1,1,26,14,12,53.7,SOUTH CAROLINA,Greenville 01,173,70,65,65,108,70,108,70,29,60,SOUTH CAROLINA,Greenville 01,163,60,60,55,79,65,84,55,110,55,17,60,231,28.7,39.57,12.8,7.81,0.26,0.0,3.09,1.1,2.5,814
29,45,450231000571,Greer,29650,0,0,1,0,high_school,Riverside High,-2,-2,367,1667,2,2,0,113,55,58,153,83,70,164,86,78,1177,599,578,0,0,0,58,29,29,87.1,SOUTH CAROLINA,Greenville 01,349,90,167,90,182,85,37,60,236,95,SOUTH CAROLINA,Greenville 01,316,92,90,80,157,90,159,90,48,80,199,90,63,3.92,11.18,2.82,0.0,0.63,0.0,3.96,1.74,2.84,1674
